City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,laojunmiao,39.8333,97.7333,72.45,23,0,8.37,CN,1689867504
341,mugia,43.1041,-9.2179,73.9,77,2,8.9,ES,1689867344
342,nadi,-17.8,177.4167,73.4,94,75,4.61,FJ,1689867453
343,hobyo,5.3505,48.5268,78.24,75,55,28.7,SO,1689867505
344,enid,36.3956,-97.8784,88.02,83,20,13.8,US,1689867363
345,pudozh,61.8099,36.5345,56.89,98,100,10.58,RU,1689867510
346,antonio enes,-16.2325,39.9086,75.6,74,1,12.77,MZ,1689867510
347,grandview,38.8858,-94.533,84.45,74,20,11.5,US,1689867511
348,margate,51.3813,1.3862,67.3,72,66,5.01,GB,1689867511
349,hohhot,40.8106,111.6522,66.49,88,40,4.47,CN,1689867511
350,sitka,57.0531,-135.33,55.29,82,40,0.0,US,1689867260
351,obo,5.3998,26.4869,82.11,60,78,2.68,CF,1689867511
352,conde,-7.2597,-34.9075,81.86,65,75,17.27,BR,1689867511
353,siverek,37.755,39.3167,97.7,10,0,8.41,TR,1689867511
354,ust-tsilma,65.441,52.1498,66.69,90,100,7.92,RU,1689867512
355,azuaga,38.2667,-5.6833,93.96,13,0,17.0,ES,1689867507
356,mudurnu,40.473,31.2076,79.54,45,0,6.17,TR,1689867512
357,vytegra,61.0064,36.4481,57.85,95,100,7.96,RU,1689867512
358,al harithah,30.7186,47.7208,109.02,4,0,11.5,IQ,1689867512
359,pisco,-13.7,-76.2167,68.05,73,100,3.44,PE,1689867512
360,hami,42.8,93.45,93.61,11,61,4.99,CN,1689867512
361,badarwas,24.9667,77.5667,87.75,64,83,5.64,IN,1689867513
362,olinda,-8.0089,-34.8553,82.13,69,40,17.27,BR,1689867513
363,pahlgam,34.0333,75.3333,65.05,87,92,1.07,IN,1689867513
